Job Title,Company Name,Company Location,Salary,Experience Required,Job Description,Skills and Related Content
Data Analyst,Bakingo,"Gurugram, Haryana","₹4,00,000 - ₹5,00,000 a year",3 years,"Job detailsHere’s how the job details align with your profile.Pay₹4,00,000 - ₹5,00,000 a yearJob typeFull-timeShift and scheduleDay shift&nbsp;LocationGurugram, Haryana&nbsp;BenefitsPulled from the full job descriptionHealth insurance&nbsp;Full job descriptionWe are seeking a highly organized and detail-oriented MIS Executive to join our team. The ideal candidate will be responsible for managing and analyzing data to support decision-making processes across the organization. The Analyst will work closely with various departments to ensure that information systems are effectively utilized and that data-driven insights are leveraged to drive business performance.
Responsibilities:
Data Management:
 Collect, organize, and maintain data from multiple sources.
 Ensure data accuracy, completeness, and integrity.
Analysis and Reporting:
 Analyze data to identify trends, patterns, and insights.
 Prepare and present reports and dashboards to management and stakeholders.
Database Management:
 Maintain and administer databases to ensure optimal performance.
 Implement data security measures to protect sensitive information.
Software Management:
 Oversee the implementation and maintenance of software systems for data management and analysis.
 Coordinate software updates and upgrades as needed.
Troubleshooting and Support:
 Identify and resolve issues related to information systems, databases, and software.
 Provide technical support and training to end-users.
Process Improvement:
 Continuously evaluate and improve data management processes and workflows.
 Recommend and implement enhancements to information systems and tools.
Compliance:
 Ensure compliance with relevant regulations and standards related to data management and information
security.
Cross-Functional Collaboration:
 Collaborate with various departments to understand their data needs and provide relevant support.
 Work closely with IT and other teams to align information systems with business objectives.
Qualifications:
 Bachelor's degree in Computer Science, Information Technology, or related field.
 Minimum Experience - 3 years
 Proven experience in a similar role, preferably in Ecommerce, Food industry.
 Proficiency in data analysis tools and techniques.
 Strong knowledge of database management systems (e.g., SQL Server, MySQL).
 Knowledge of Advance excel (e.g., VLOOKUP, HLOOKUP, PIVOT TABLE).
 Excellent analytical and problem-solving skills.
 Ability to communicate complex technical concepts to non-technical stakeholders.
 Attention to detail and ability to work independently as well as part of a team.
Job Type: Full-time
Benefits:","skills.
 Ability to communicate complex technical concepts to non-technical stakeholders.
 Attention to detail and ability to work independently as well as part of a team.
Job Type: Full-time
Benefits:"
PYTHON DEVELOPER,AIZAH IT SERVICES PVT LTD,Company Location not found,"₹1,00,000 - ₹2,00,000 a year",,"Job detailsHere’s how the job details align with your profile.Pay₹1,00,000 - ₹2,00,000 a yearJob typeFull-timePart-timeTemporary+ show more&nbsp;LocationRemote&nbsp;Full job descriptionHTML
CSS
JAVASCRIPT
PHP
PHP FRAMEWORKS
DATABASE
WEB SERVER
COMUNICATION
Job Types: Full-time, Part-time, Fresher, Internship, Temporary, Freelance, VolunteerContract length: 12 months
Expected hours: 8 per week
Education:",Skills information not found
Senior Analyst - Digital Marketing Analytics,Roche,"Chennai, Tamil Nadu",Salary not mentioned,4+ years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationChennai, Tamil Nadu&nbsp;Full job description
Roche fosters diversity, equity and inclusion, representing the communities we serve. When dealing with healthcare on a global scale, diversity is an essential ingredient to success. We believe that inclusion is key to understanding people’s varied healthcare needs. Together, we embrace individuality and share a passion for exceptional care. Join Roche, where every voice matters.",skills with a keen eye for quality and accuracy in analytics and effective communication skills for engaging with Senior Leadership
Senior Data Analyst - Growth & Strategy,Rezo.ai.,"Noida, Uttar Pradesh",Salary not mentioned,7 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationNoida, Uttar Pradesh&nbsp;Full job description","skills with a keen attention to detail.
Solid understanding of database concepts, data modeling, and database management.
Strong communication and interpersonal skills to effectively collaborate with diverse teams and present complex information to non-technical stakeholders.
Ability to work independently and handle multiple projects simultaneously, adhering to tight deadlines.
Previous experience in the B2B/SaaS industry/domain is a plus.
Familiarity with statistical analysis and predictive modeling techniques is great."
Business Analyst,Pricelabs,"Pune, Maharashtra",Salary not mentioned,2+ years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationPune, Maharashtra&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job description
 Preferable Location(s): Pune, India | Mumbai, India | Bengaluru, India | Chennai, India | Panaji, India | Kolkata, India | Hyderabad, India | Bengaluru, India | Delhi, India",Skills information not found
Solutions Engineer - AI & Data,Niveus,"Bengaluru, Karnataka",Salary not mentioned,,Full job description,skills
Data Analyst,Equifax,"Mumbai, Maharashtra",Salary not mentioned,3-5 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationMumbai, Maharashtra&nbsp;BenefitsPulled from the full job descriptionHealth insurancePaid time off&nbsp;Full job description
Equifax is where you can power your possible. If you want to achieve your true potential, chart new paths, develop new skills, collaborate with bright minds, and make a meaningful impact, we want to hear from you.
Synopsis of the role:","skills, collaborate with bright minds, and make a meaningful impact, we want to hear from you.
Synopsis of the role:"
Data Science (AI & Python Program Developers),MNJ Software,Company Location not found,Salary not mentioned,3-6 yrs,Job detailsHere’s how the job details align with your profile.Job typePermanentFull-timeTemporaryShift and scheduleMonday to Friday&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job description,Skills
Business Analyst,JAIN Launchpad,"Bengaluru, Karnataka","₹25,000 - ₹35,000 a month",,"Job detailsHere’s how the job details align with your profile.Pay₹25,000 - ₹35,000 a monthJob typeFull-timeFresher&nbsp;LocationBengaluru, Karnataka&nbsp;Full job descriptionJAIN Launchpad is a Technology Business Incubator, Accelerator and Seed fund, supported by Department of Science & Technology (DST), Govt. of India and JAIN Deemed-to-be University, Bangalore. We are hiring for various executive and managerial positions in Finance & Funds, Program Management, Business Development, Media & Content Creation etc.
Desired Qualification",Skills
Business Analyst,Virtusa,Andhra Pradesh,Salary not mentioned,,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationAndhra Pradesh&nbsp;Full job description
 As a Core Tech Lead, you will be responsible for leading and managing a team of developers in the development of core technologies. You will work closely with the product team to understand requirements and design solutions that meet business needs. Your role will involve both hands-on development as well as providing technical guidance and mentorship to team members. The work mode for this position is Hybrid, meaning you will have the option to work remotely or in the office as needed. This is a great opportunity for a highly skilled and experienced tech lead to take on a leadership role and make a significant impact on the development of our core technologies.",Skills information not found
Digital Marketing Analyst,helpgini,"Thiruvananthapuram, Kerala","₹20,000 - ₹25,000 a month",1-2 years,"Job detailsHere’s how the job details align with your profile.Pay₹20,000 - ₹25,000 a monthJob typeFull-timePermanentShift and scheduleWeekend availabilityMorning shiftDay shift+ show more&nbsp;LocationThiruvananthapuram, Kerala&nbsp;Full job descriptionHiring: Digital Marketing And Admin
Job Timing: 9:00 AM to 6:00 PM
Working Days: 6 Days in Week
Experience: 1-2 years
Salary: 20-25 k per month
Location:- Thiruvananthapuram, Kerala 695034
Job description
=>Develop and execute comprehensive digital marketing strategies to elevate brand presence and drive engagement across Facebook, Instagram, LinkedIn, Google, and Bing.
=>PHP & WordPress Developer
=>Create compelling and engaging content for social media platforms to foster audience engagement and drive user interaction.
· Industry Type: Advertising & Marketing (Digital Marketing)
· Department: Marketing & Communication
· Employment Type: Full Time, Permanent
· Role Category: Digital Marketing
Share your Resume:- *shilpig.hr@gmail.com*
*Whatsapp at:- 9315173463*
https://www.linkedin.com/in/shilpi-goel-56a79b15/
Job Types: Full-time, Permanent
Schedule:",Skills information not found
"Data Insights Analyst, Trust and Safety Compute",Google,"Hyderabad, Telangana",Salary not mentioned,4 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationHyderabad, Telangana&nbsp;Full job description
 Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Hyderabad, Telangana, India; Bengaluru, Karnataka, India.
  Minimum qualifications:","skills, with the ability to influence cross-functionally at various levels."
Python Developer,Employee Hub,Company Location not found,"Up to ₹1,20,000 a month",4 years,"Job detailsHere’s how the job details align with your profile.PayUp to ₹1,20,000 a monthJob typeFull-timeShift and scheduleDay shift&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionHealth insurance&nbsp;Full job descriptionOverviewWe are seeking a skilled Python Developer to join our dynamic team. The ideal candidate will have a strong background in software development and be proficient in Python programming.
Responsibilities- Develop and maintain backend services using Python- Collaborate with cross-functional teams to define, design, and ship new features- Write clean, maintainable, and efficient code- Integrate user-facing elements into applications- Test and debug programs- Implement security and data protection solutions- Manage code repositories on GitHub- Work in an Agile development environment
ExperienceRequired:- Proficiency in Python programming- Experience with RESTful APIs- Knowledge of web development technologies- Familiarity with AWS or Azure cloud services- Understanding of software development principles
Nice-to-have:- Familiarity with IT infrastructure- Experience with GitHub for version control- Knowledge of Agile methodologies
If you are a talented Python Developer looking to work on exciting projects in a collaborative environment, we encourage you to apply.
Job Type: Full-time
Benefits:",Skills information not found
Senior Engineer - Data Science,Altimetrik Corp,"Chennai, Tamil Nadu",Salary not mentioned,6+ years,"Full job description
Date: 30 Jul 2024
Location: Chennai, TN, IN, 600113
Company: Altimetrik","skills
Outstanding analytical and problem-solving skills"
Data Scientists/Data Analysts,DPR Solutions,"Hyderabad, Telangana",Salary not mentioned,,Full job description,Skills :
Data Analyst,NPOWA Solutions,"Mangalore, Karnataka",Salary not mentioned,1-3 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-timePermanentShift and scheduleMorning shiftDay shiftMonday to Friday&nbsp;LocationMangalore, Karnataka&nbsp;Full job descriptionJob Opportunity at NPOWA Solutions :
We are looking for *Data Analyst* to join our incredibly well-run team.
*REQUIREMENTS:*
▪ Min 1-3 years of relevant experience.
*▪ Job Specific Skills-*
•Hands On Experience in Advance Excel, Data Analytics, Power BI, Latest Analytics tools and Reporting.•Experience working with ERP systems, preferably SAP.•Strong analytical and problem-solving skills with expertise in data analysis and management (Advance Excel, Power BI, MS Excel, MS Word, MS Access, PowerPoint ).","Skills-*
•Hands On Experience in Advance Excel, Data Analytics, Power BI, Latest Analytics tools and Reporting.•Experience working with ERP systems, preferably SAP.•Strong analytical and problem-solving skills with expertise in data analysis and management (Advance Excel, Power BI, MS Excel, MS Word, MS Access, PowerPoint )."
Business Analyst - Digital Marketing & Web Development,Onbyz,Company Location not found,Salary not mentioned,2 Years,Job detailsHere’s how the job details align with your profile.Job typePermanentFull-time&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job description,"skills.
 Roles & Responsibilities: 1. Client Management:"
Data Scientist,Aidewiser Soltek,"Bengaluru, Karnataka","₹24,00,000 - ₹30,00,000 a year",5 years,"Job detailsHere’s how the job details align with your profile.Pay₹24,00,000 - ₹30,00,000 a yearJob typeFull-time&nbsp;LocationBengaluru, Karnataka&nbsp;Full job descriptionAbout the Role:You will work on a broad range of cutting-edge data science and machine learning problems across avariety of industries. You will be engaging with clients to understand their business context. If you arepassionate to work on complex unstructured business problems that can be solved using data scienceand machine learning we would like to talk to you.
Function: Data Science and Analysis → Data Science / Machine Learning
Desired Skills & Competencies:● Strong learning acumen● Team Management● High sense of ownership● Ability to work in a fast-paced and deadline-driven environment● Loves technology● Highly skilled at Data Interpretation● Problem solver● Good exposure to machine learning concepts and algorithms● Must be fluent with any one of Python, R, Java● Strong in statistical &amp; machine learning concepts● Knowledge of Python Libraries - SciPy, NumPy, Pandas, I Python, Scikit-learn● Knowledge of distributed big data processing (PySpark, Jupyter, Linux, AWS)
Responsibilities:● Hypothesis testing, insights generation, root cause analysis, factor analysis● Statistical model (predictive &amp; prescriptive) development using various statistical &amp; machinelearning techniques/algorithms● Test/train the model, Improve Model accuracy, Monitor model performance● Data Extraction from EDW/Big Data Platform, Dataset Preparation (creation of base data,aggregation, transformation), performing EDA
Desired Experience & Education:● 3 - 5 years of relevant Machine Learning experience.● B. Tech from Tier-1 college / M.S or M. Tech is preferred in Computer Science, InformationTechnology, or similar degree.
Job Type: Full-time
Application Question(s):","Skills & Competencies:● Strong learning acumen● Team Management● High sense of ownership● Ability to work in a fast-paced and deadline-driven environment● Loves technology● Highly skilled at Data Interpretation● Problem solver● Good exposure to machine learning concepts and algorithms● Must be fluent with any one of Python, R, Java● Strong in statistical &amp; machine learning concepts● Knowledge of Python Libraries - SciPy, NumPy, Pandas, I Python, Scikit-learn● Knowledge of distributed big data processing (PySpark, Jupyter, Linux, AWS)
Responsibilities:● Hypothesis testing, insights generation, root cause analysis, factor analysis● Statistical model (predictive &amp; prescriptive) development using various statistical &amp; machinelearning techniques/algorithms● Test/train the model, Improve Model accuracy, Monitor model performance● Data Extraction from EDW/Big Data Platform, Dataset Preparation (creation of base data,aggregation, transformation), performing EDA
Desired Experience & Education:● 3 - 5 years of relevant Machine Learning experience.● B. Tech from Tier-1 college / M.S or M. Tech is preferred in Computer Science, InformationTechnology, or similar degree.
Job Type: Full-time
Application Question(s):"
Data Analyst,PATH,Rajasthan,Salary not mentioned,40 years,Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationRajasthan&nbsp;Full job description,Skills information not found
Data Analyst 2,PayPal,"Bengaluru, Karnataka",Salary not mentioned,25 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationBengaluru, Karnataka&nbsp;BenefitsPulled from the full job descriptionHealth insurance&nbsp;Full job description
The Company
PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy.
 We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whether they are online or in person. PayPal is more than a connection to third-party payment networks. We provide proprietary payment solutions accepted by merchants that enable the completion of payments on our platform on behalf of our customers.
 We offer our customers the flexibility to use their accounts to purchase and receive payments for goods and services, as well as the ability to transfer and withdraw funds. We enable consumers to exchange funds more safely with merchants using a variety of funding sources, which may include a bank account, a PayPal or Venmo account balance, PayPal and Venmo branded credit products, a credit card, a debit card, certain cryptocurrencies, or other stored value products such as gift cards, and eligible credit card rewards. Our PayPal, Venmo, and Xoom products also make it safer and simpler for friends and family to transfer funds to each other. We offer merchants an end-to-end payments solution that provides authorization and settlement capabilities, as well as instant access to funds and payouts. We also help merchants connect with their customers, process exchanges and returns, and manage risk. We enable consumers to engage in cross-border shopping and merchants to extend their global reach while reducing the complexity and friction involved in enabling cross-border trade.
 Our beliefs are the foundation for how we conduct business every day. We live each day guided by our core values of Inclusion, Innovation, Collaboration, and Wellness. Together, our values ensure that we work together as one global team with our customers at the center of everything we do – and they push us to ensure we take care of ourselves, each other, and our communities.
Job Description Summary: We are looking for a motivated Data Analyst interested to make an impact on PayPal’s Customer Resolutions & Protections policy. This is a dynamic position that involves working on data analysis, manipulation, and data modelling to generate insights and help in PayPal’s core business offering for Marketplaces and Partners.
Job Description:",skills with an ability to story-tell and translate analysis and insights into actionable recommendations.
Data Analyst,HJRealEstates,"Delhi, Delhi",Salary not mentioned,,"Job detailsHere’s how the job details align with your profile.Job typeFull-timeShift and scheduleDay shift&nbsp;LocationDelhi, Delhi&nbsp;Full job descriptionHJ Real Estates is a premier real estate agency based in Dubai, offering a wide range of property services to clients both locally and internationally. With years of experience and a team of seasoned professionals, we have established ourselves as a trusted name in the industry. We specialize in providing customized solutions to our clients’ real estate needs, whether they are looking to buy, sell, or rent a property. To know more: https://hjrealestates.com/about
Roles and Responsibilities:-",Skills and Qualifications
Business Analyst,EnactOn Technologies,"Surat, Gujarat","Up to ₹6,00,000 a year",,"Job detailsHere’s how the job details align with your profile.PayUp to ₹6,00,000 a yearJob typeFresherInternship&nbsp;LocationSurat, Gujarat&nbsp;BenefitsPulled from the full job descriptionPaid sick timeWork from home&nbsp;Full job description","skills, both written and verbal.
Proficiency in various programming languages (programming is not required, but understanding is essential).
Ability to handle projects from diverse industries and adapt to different business and operational flows."
Business Analyst - Digital Marketing & Web Development,Onbyz,Company Location not found,Salary not mentioned,2 Years,Job detailsHere’s how the job details align with your profile.Job typePermanentFull-time&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job description,"skills.
 Roles & Responsibilities: 1. Client Management:"
Data Scientist,Aidewiser Soltek,"Bengaluru, Karnataka","₹24,00,000 - ₹30,00,000 a year",5 years,"Job detailsHere’s how the job details align with your profile.Pay₹24,00,000 - ₹30,00,000 a yearJob typeFull-time&nbsp;LocationBengaluru, Karnataka&nbsp;Full job descriptionAbout the Role:You will work on a broad range of cutting-edge data science and machine learning problems across avariety of industries. You will be engaging with clients to understand their business context. If you arepassionate to work on complex unstructured business problems that can be solved using data scienceand machine learning we would like to talk to you.
Function: Data Science and Analysis → Data Science / Machine Learning
Desired Skills & Competencies:● Strong learning acumen● Team Management● High sense of ownership● Ability to work in a fast-paced and deadline-driven environment● Loves technology● Highly skilled at Data Interpretation● Problem solver● Good exposure to machine learning concepts and algorithms● Must be fluent with any one of Python, R, Java● Strong in statistical &amp; machine learning concepts● Knowledge of Python Libraries - SciPy, NumPy, Pandas, I Python, Scikit-learn● Knowledge of distributed big data processing (PySpark, Jupyter, Linux, AWS)
Responsibilities:● Hypothesis testing, insights generation, root cause analysis, factor analysis● Statistical model (predictive &amp; prescriptive) development using various statistical &amp; machinelearning techniques/algorithms● Test/train the model, Improve Model accuracy, Monitor model performance● Data Extraction from EDW/Big Data Platform, Dataset Preparation (creation of base data,aggregation, transformation), performing EDA
Desired Experience & Education:● 3 - 5 years of relevant Machine Learning experience.● B. Tech from Tier-1 college / M.S or M. Tech is preferred in Computer Science, InformationTechnology, or similar degree.
Job Type: Full-time
Application Question(s):","Skills & Competencies:● Strong learning acumen● Team Management● High sense of ownership● Ability to work in a fast-paced and deadline-driven environment● Loves technology● Highly skilled at Data Interpretation● Problem solver● Good exposure to machine learning concepts and algorithms● Must be fluent with any one of Python, R, Java● Strong in statistical &amp; machine learning concepts● Knowledge of Python Libraries - SciPy, NumPy, Pandas, I Python, Scikit-learn● Knowledge of distributed big data processing (PySpark, Jupyter, Linux, AWS)
Responsibilities:● Hypothesis testing, insights generation, root cause analysis, factor analysis● Statistical model (predictive &amp; prescriptive) development using various statistical &amp; machinelearning techniques/algorithms● Test/train the model, Improve Model accuracy, Monitor model performance● Data Extraction from EDW/Big Data Platform, Dataset Preparation (creation of base data,aggregation, transformation), performing EDA
Desired Experience & Education:● 3 - 5 years of relevant Machine Learning experience.● B. Tech from Tier-1 college / M.S or M. Tech is preferred in Computer Science, InformationTechnology, or similar degree.
Job Type: Full-time
Application Question(s):"
Data Analyst,PATH,Rajasthan,Salary not mentioned,40 years,Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationRajasthan&nbsp;Full job description,Skills information not found
Business Analyst,EnactOn Technologies,"Surat, Gujarat","Up to ₹6,00,000 a year",,"Job detailsHere’s how the job details align with your profile.PayUp to ₹6,00,000 a yearJob typeFresherInternship&nbsp;LocationSurat, Gujarat&nbsp;BenefitsPulled from the full job descriptionPaid sick timeWork from home&nbsp;Full job description","skills, both written and verbal.
Proficiency in various programming languages (programming is not required, but understanding is essential).
Ability to handle projects from diverse industries and adapt to different business and operational flows."
Data Analyst 2,PayPal,"Bengaluru, Karnataka",Salary not mentioned,25 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationBengaluru, Karnataka&nbsp;BenefitsPulled from the full job descriptionHealth insurance&nbsp;Full job description
The Company
PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy.
 We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whether they are online or in person. PayPal is more than a connection to third-party payment networks. We provide proprietary payment solutions accepted by merchants that enable the completion of payments on our platform on behalf of our customers.
 We offer our customers the flexibility to use their accounts to purchase and receive payments for goods and services, as well as the ability to transfer and withdraw funds. We enable consumers to exchange funds more safely with merchants using a variety of funding sources, which may include a bank account, a PayPal or Venmo account balance, PayPal and Venmo branded credit products, a credit card, a debit card, certain cryptocurrencies, or other stored value products such as gift cards, and eligible credit card rewards. Our PayPal, Venmo, and Xoom products also make it safer and simpler for friends and family to transfer funds to each other. We offer merchants an end-to-end payments solution that provides authorization and settlement capabilities, as well as instant access to funds and payouts. We also help merchants connect with their customers, process exchanges and returns, and manage risk. We enable consumers to engage in cross-border shopping and merchants to extend their global reach while reducing the complexity and friction involved in enabling cross-border trade.
 Our beliefs are the foundation for how we conduct business every day. We live each day guided by our core values of Inclusion, Innovation, Collaboration, and Wellness. Together, our values ensure that we work together as one global team with our customers at the center of everything we do – and they push us to ensure we take care of ourselves, each other, and our communities.
Job Description Summary: We are looking for a motivated Data Analyst interested to make an impact on PayPal’s Customer Resolutions & Protections policy. This is a dynamic position that involves working on data analysis, manipulation, and data modelling to generate insights and help in PayPal’s core business offering for Marketplaces and Partners.
Job Description:",skills with an ability to story-tell and translate analysis and insights into actionable recommendations.
Data Analyst,HJRealEstates,"Delhi, Delhi",Salary not mentioned,,"Job detailsHere’s how the job details align with your profile.Job typeFull-timeShift and scheduleDay shift&nbsp;LocationDelhi, Delhi&nbsp;Full job descriptionHJ Real Estates is a premier real estate agency based in Dubai, offering a wide range of property services to clients both locally and internationally. With years of experience and a team of seasoned professionals, we have established ourselves as a trusted name in the industry. We specialize in providing customized solutions to our clients’ real estate needs, whether they are looking to buy, sell, or rent a property. To know more: https://hjrealestates.com/about
Roles and Responsibilities:-",Skills and Qualifications
Data EngineerL63,WTW,India,Salary not mentioned,5-7 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationIndia&nbsp;Full job description
Knowledge and Experience:","skills.
Commitment to quality and continuous improvement.
Strong written and verbal communication skills.
Proficient in Azure Data Factory. Experience building and optimising data pipelines, architectures, and data sets
Experience with Azure data storage solutions such as Azure SQL Database, Azure Cosmos DB, and Azure Data Lake Storage
Basic understanding of data modeling- OLTP vs dimensional modeling is preferred
Experience creating reports using Power BI.
Experience with relational databases and proficiency using SQL"
Digital Marketing Specialist,Chic Studio,Company Location not found,"₹30,000 - ₹40,000 a month",2 years,"Job detailsHere’s how the job details align with your profile.Pay₹30,000 - ₹40,000 a monthJob typeFull-time&nbsp;LocationRemote&nbsp;Full job descriptionJob Title: Digital Marketing Specialist
Department: Marketing
Reports To: Head of Marketing
Summary:
PLEASE READ CAREFULLY: ONLY APPLY IF YOU HAVE BOTH SOCIAL MEDIA MANAGEMENT & RUNNING ADS EXPERIENCE!
Industry
Marketing Services
Employment Type
Full-time
Responsibilities:
* Manage and grow our social media channels, including content creation, scheduling, and community engagement.
* Develop and execute creative briefs for marketing campaigns across various platforms.
* Monitor and analyze campaign performance metrics to optimize strategies and achieve KPls.
* Collaborate with internal teams to align marketing initiatives with overall company objectives.
* Stay informed about industry trends and best practices in social media and digital marketing.
Requirements:
* Proven experience in social media management and creative marketing.
* Strong understanding of advertising principles and digital analytics.
* Excellent written and verbal communication skills.
* Ability to work both independently and collaboratively in a team environment.
* Highly organized with a keen eye for detail and a proactive attitude.
Job Type: Full-time
Application Question(s):","skills.
* Ability to work both independently and collaboratively in a team environment.
* Highly organized with a keen eye for detail and a proactive attitude.
Job Type: Full-time
Application Question(s):"
Junior Python Developer,Cohire Solutions,"Bengaluru, Karnataka","₹4,00,000 - ₹10,00,000 a year",1-3 years,"Job detailsHere’s how the job details align with your profile.Pay₹4,00,000 - ₹10,00,000 a yearJob typeFull-timeShift and scheduleDay shift&nbsp;LocationBengaluru, Karnataka&nbsp;Full job descriptionResponsibilities:
Python Application Development:",Skills and Experience:
Data Analyst,VAYUZ Technologies Private Limited,"Greater Noida, Uttar Pradesh","₹7,00,000 - ₹9,00,000 a year",4 years,"Job detailsHere’s how the job details align with your profile.Pay₹7,00,000 - ₹9,00,000 a yearJob typeFull-timeShift and scheduleMonday to Friday&nbsp;LocationGreater Noida, Uttar Pradesh&nbsp;Full job descriptionJob description
Job Description: IT Data Analyst
Position: IT Data Analyst
Location: NY Metro Area
Job Type: Full-time
Key Responsibilities:",Skills / Attributes:
Data Analyst,OneMagnify,"Chennai, Tamil Nadu","₹40,000 - ₹1,20,000 a month",7 years,"Job detailsHere’s how the job details align with your profile.Pay₹40,000 - ₹1,20,000 a monthJob typeFull-timeFresherPermanentShift and scheduleDay shiftMonday to Friday&nbsp;LocationChennai, Tamil Nadu&nbsp;Full job descriptionSkills required
Alteryx , Tableau, Qlik, SQL , Business Acumen, ETL.Exp 3.5 to 7 years.Willing to relocate Chennai and work from Ford office mandate.Preferred Experience:","Skills required
Alteryx , Tableau, Qlik, SQL , Business Acumen, ETL.Exp 3.5 to 7 years.Willing to relocate Chennai and work from Ford office mandate.Preferred Experience:"
Data Analyst,Virtusa,"Chennai, Tamil Nadu",Salary not mentioned,,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationChennai, Tamil Nadu&nbsp;Full job description
 Confirmed experience of operating with complex integrated systems, using creative and critical thinking to deliver outstanding results  Requirements elicitation, approvals, processes, and scope impacts  Ability to plan ahead for potential changes and corrective actions  Building traceability, testing and validation materials  Ability to lead work with the business to identify functional and technical requirements  Translating requirements into design and process specifications  Shape and define business cases, producing detailed business justification  You will need great interpersonal skills & a collaborative approach to delivery  Able to analyze solutions proposals and articulate supporting reasoning  Experience in process and definition materials  Data Analysis, Data Modelling, Data warehousing, Data profiling  Desirable:  Experience of Talend, API, Collibra analysis and design,  Familiarity with big data, metadata, ETL & cloud techniques, and tools  Experience in the pharmaceutical or life sciences industries","skills & a collaborative approach to delivery  Able to analyze solutions proposals and articulate supporting reasoning  Experience in process and definition materials  Data Analysis, Data Modelling, Data warehousing, Data profiling  Desirable:  Experience of Talend, API, Collibra analysis and design,  Familiarity with big data, metadata, ETL & cloud techniques, and tools  Experience in the pharmaceutical or life sciences industries"
Data Analyst,Bigfix Gadget Care,"Arumbakkam, Chennai, Tamil Nadu",Salary not mentioned,,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationArumbakkam, Chennai, Tamil Nadu&nbsp;Full job description","skills, a keen eye for detail, and a passion for
leveraging data to drive business success.
Main Responsibilities:  
Collect, clean, and preprocess data from multiple sources, including the bigfix.in platform and
other business verticals, ensuring data accuracy, completeness, and integrity. 
Perform exploratory data analysis to identify trends, patterns, and correlations in platform data
and other business data, using statistical techniques and data visualization tools. 
Develop and maintain dashboards, reports, and data visualizations to communicate key insights
and performance metrics to stakeholders across different business verticals. 
Conduct in-depth analysis of user behavior, engagement metrics, and customer feedback across
various platforms and verticals to identify areas for improvement and inform strategic decision-
making. 
Collaborate with cross-functional teams, including product development, marketing, and
customer service, to translate data insights into actionable recommendations and initiatives for
each business vertical. 
Monitor key performance indicators (KPIs) and metrics related to service delivery, user
experience, and business performance across different verticals, tracking performance over time
and identifying opportunities for optimization. 
Design and implement experiments and A/B tests to evaluate the impact of proposed changes and
interventions on user behavior, service performance, and business outcomes."
Business Process Analyst,Spider Tech lab,"Bengaluru, Karnataka","₹3,00,000 - ₹3,50,000 a year",,"Job detailsHere’s how the job details align with your profile.Pay₹3,00,000 - ₹3,50,000 a yearJob typeFull-timeFresherPermanentShift and scheduleRotational shiftDay shiftMonday to Friday&nbsp;LocationBengaluru, Karnataka&nbsp;Full job descriptionGreetings From Spider Tech Lab Bangalore.
Eligibility Criteria:: Btech / MBA / Any graduate ( Freshers & Experience both can apply)
Skills :: Good Technical knowledge with good communication skills , Power point, excel & good hand in out look
Job Types: Full-time, Permanent, Fresher
Schedule:","Skills :: Good Technical knowledge with good communication skills , Power point, excel & good hand in out look
Job Types: Full-time, Permanent, Fresher
Schedule:"
